alegra_id,codigo,referencia,nombre,precio_actual_shopify,precio_mayoristas_con_iva,precio_general_con_iva,diferencia_vs_mayorista,situacion,otras_listas_con_iva
1207,6971626279931,6971626279931,Cepillo Bambu Desenredante Pantera Celeste,15478,8000,8000,7478,POR ENCIMA del general (+7478),clientespremium=8000; Lista el SI=8000
518,7509552844009,7509552844009,Kit S+A Uva Skala,23500,15989.84,20499.8,7510.16,POR ENCIMA del general (+3000.2),Lista Subdistribuidor PC=14296.8; clientespremium=15190.35; Lista Supermercados=15989.84
890,6971626279269,6971626279269,Espejo De Tocador Rectangular Premium Importados,19653,11999.96,11999.96,7653.04,POR ENCIMA del general (+7653.04),clientespremium=11999.96; Lista el SI=11999.96
672,6971626274950,6971626274950,Fijador De Maquillaje Matte Serenity 50Ml Alma Beauty,15001,7000,7000,8001,POR ENCIMA del general (+8001),clientespremium=7000; Lista el SI=7000
521,7509552827972,7509552827972,Set Para Sujetar El Cabello 5 Piezas,22356,13989.64,15969.8,8366.36,POR ENCIMA del general (+6386.2),clientespremium=14577.98
227,7707197602781,7707197602781,Espejo Rectangular En Madera Importados,16042,7259,0,8783,POR ENCIMA del general (+16042),Lista Caribe Supermercados=7767.13
1014,7509552829655,7509552829655,Rubor Cremoso Pro Tono 4 Miis Cosmetics,17638,8718.32,11177.33,8919.68,POR ENCIMA del general (+6460.67),Lista Subdistribuidor PC=7795.2; clientespremium=8282.4; Lista Supermercados=8718.32
503,7509552844375,7509552844375,Caja de Lapices Delineador Sweet Liner Miis Cosmetics,30235,20792.12,26656.56,9442.88,POR ENCIMA del general (+3578.44),Lista Subdistribuidor PC=18590.6; clientespremium=19752.51; Lista Supermercados=20792.12
459,7703799906524,7703799906524,Labial Liquido Mate #2 Malva Bardot,24180.8,13970.7,19958.14,10210.1,POR ENCIMA del general (+4222.66),Lista Subdistribuidor PC=12573.63; Lista Caribe Supermercados=15367.76; clientespremium=13551.57
1295,7702029282841,7702029282841,Polvo Suelto Celestial Miis Cosmetics,22073,11826.77,16895.38,10246.23,POR ENCIMA del general (+5177.62),Lista Subdistribuidor PC=10644.09; Lista Caribe Supermercados=12418.11; clientespremium=11471.97
2698,35555-1,35555-1,Set Protect Lip Gloss x3 Raymar,17145,5714.29,6666.67,11430.71,POR ENCIMA del general (+10478.33),clientespremium=5542.86; Lista Subdistribuidor PC=5142.86; Lista Caribe Supermercados=6000
840,75095528472771,75095528472771,Kit De Difuminado De Maquillaje Flor,11792,1.19,1.19,11790.81,POR ENCIMA del general (+11790.81),
504,7509552844382,7509552844382,Shampoo De Ají Click Hair,32954,20792.12,26656.56,12161.88,POR ENCIMA del general (+6297.44),Lista Subdistribuidor PC=18590.6; clientespremium=19752.51; Lista Supermercados=20792.12
498,7509552844306,7509552844306,Acondicionador Control Caspa Poción,33520,20792.12,26656.56,12727.88,POR ENCIMA del general (+6863.44),Lista Subdistribuidor PC=18590.6; clientespremium=19752.51; Lista Supermercados=20792.12
2646,15979,15979,Set Voluminizador De Labios x4 Raymar,17144,4285.71,5000,12858.29,POR ENCIMA del general (+12144),clientespremium=4157.14; Lista Subdistribuidor PC=3857.14; Lista Caribe Supermercados=4500
131,7707197602750,7707197602750,Primer Hidratante Pieles Mixtas Mística Alma Beauty,23573,9786.56,12233.2,13786.44,POR ENCIMA del general (+11339.8),Lista Subdistribuidor PC=8896.44; Lista Caribe Supermercados=10472
906,7702433299749,7702433299749,Pestañina Boombastic Waterproof 9G VOGUE,19095,4601.33,6054.39,14493.67,POR ENCIMA del general (+13040.61),Lista Subdistribuidor PC=4222.4; clientespremium=4486.3; Lista Supermercados=4722.42
2590,7799,7799,Set Corrector Líquido A Prueba De Agua X4,20572,5142.86,6000,15429.14,POR ENCIMA del general (+14572),clientespremium=4988.57; Lista Subdistribuidor PC=4628.57; Lista Caribe Supermercados=5400
204,7709990241945,7709990241945,Acondicionador GLISS EXPRESS 200ml UltRepair -25,31639,16065,0,15574,POR ENCIMA del general (+31639),Lista Caribe Supermercados=17189.55
1152,6971626273984,6971626273984,Fijador De Maquillaje 1St Scene Atenea,24097,8000,8000,16097,POR ENCIMA del general (+16097),clientespremium=8000; Lista el SI=8000
1157,6971626275803,6971626275803,Cosmetiquera Summer Bag Alma Beauty,24144,8000,8000,16144,POR ENCIMA del general (+16144),clientespremium=8000; Lista el SI=8000
499,7509552844313,7509552844313,Sport Ultra Acondicionador Poción,37520,20792.12,26656.56,16727.88,POR ENCIMA del general (+10863.44),Lista Subdistribuidor PC=18590.6; clientespremium=19752.51; Lista Supermercados=20792.12
522,7509552827996,7509552827996,Rubor Suelto Pro Miis Cosmetics,30942,13989.64,15969.8,16952.36,POR ENCIMA del general (+14972.2),clientespremium=14577.98
653,6971626272406,6971626272406,Set rubores líquidos X6 Raymar,27432,10000,10000,17432,POR ENCIMA del general (+17432),clientespremium=10000; Lista el SI=10000
976,7509552944365,7509552944365,Paleta De Iluminadores Multicromáticos Aurora Miis Cosmetics,32050,14391.17,18450.22,17658.83,POR ENCIMA del general (+13599.78),Lista Subdistribuidor PC=12867.4; clientespremium=13671.61; Lista Supermercados=14391.17
158,7707197601883,7707197601883,Polvo Matificador en Gel Mattepowder ATENEA,30667,11089.61,14000.35,19577.39,POR ENCIMA del general (+16666.65),Lista Caribe Supermercados=11865.49
1197,7509552934427,7509552934427,Duo De Bronzer En Crema Y Compacto Gobi Atenea,30121,10395.28,13327.28,19725.72,POR ENCIMA del general (+16793.72),Lista Subdistribuidor PC=9294.6; clientespremium=9875.51; Lista Supermercados=10395.28
455,7509552808872,7509552808872,Iluminador Sublime Gleam Atenea,26507,6434.33,9508.1,20072.67,POR ENCIMA del general (+16998.9),Lista Subdistribuidor PC=0; Lista Caribe Supermercados=0; clientespremium=6426.43
2194,7509552844368P,7509552844368P,Tratamiento Cereza Skala,20500,1.19,1.19,20498.81,POR ENCIMA del general (+20498.81),
2035,15167,15167,Base Bonita 05 Eva Ani-K,34267,13332.76,20000,20934.24,POR ENCIMA del general (+14267),Lista Subdistribuidor PC=11999.48; Lista Caribe Supermercados=13999.4; clientespremium=12932.78
624,7702186024629,7702186024629,Shampoo Poción Kids Nutrición Y Protección POCION,29520,7736.62,8831,21783.38,POR ENCIMA del general (+20689),clientespremium=7349.79; Lista el SI=7736.62
2465,7707223668187,7707223668187,Color 1 Tinte Liquido Borgoña 6 Sachets,26672,4841.91,6213.79,21830.09,POR ENCIMA del general (+20458.21),clientespremium=4696.65; Lista Subdistribuidor PC=4357.72; Lista Caribe Supermercados=5084
2468,7707223668187RO,7707223668187RO,Color 1 Tinte Liquido Rojo Shangai 6 Sachets,26672,4841.91,6213.79,21830.09,POR ENCIMA del general (+20458.21),clientespremium=4696.65; Lista Subdistribuidor PC=4357.72; Lista Caribe Supermercados=5084
2469,7707223660631CLAR,7707223660631CLAR,Color 1 Tinte Liquido Castaño Claro 6 Sachets,26672,4502.98,5778.82,22169.02,POR ENCIMA del general (+20893.18),clientespremium=4367.89; Lista Subdistribuidor PC=4052.68; Lista Caribe Supermercados=4728.12
532,7509552844238,7509552844238,Base Resist Glam Glamour Vogue,28562,5905.97,7353.01,22656.03,POR ENCIMA del general (+21208.99),Lista Subdistribuidor PC=0; Lista Caribe Supermercados=0; clientespremium=5979.36
534,7509552844252,7509552844252,Base Resist Glam Canela Vogue,28562,5905.97,7353.01,22656.03,POR ENCIMA del general (+21208.99),Lista Subdistribuidor PC=0; Lista Caribe Supermercados=0; clientespremium=5979.36
533,7509552844245,7509552844245,Base Resist Glam Miel Vogue,28562,5905.97,7353.01,22656.03,POR ENCIMA del general (+21208.99),Lista Subdistribuidor PC=0; Lista Caribe Supermercados=0; clientespremium=5979.36
536,7509552844283,7509552844283,Duo De Bronzer En Crema Y Compacto Sand Storm Atenea,30121,5905.97,7353.01,24215.03,POR ENCIMA del general (+22767.99),Lista Subdistribuidor PC=0; Lista Caribe Supermercados=0; clientespremium=5979.35
2618,35666-1,35666-1,Set Glitter Líquido x6 Raymar,30000,5000,5833.33,25000,POR ENCIMA del general (+24166.67),clientespremium=4850; Lista Subdistribuidor PC=4500; Lista Caribe Supermercados=5250
2709,15966-1,15966-1,Set Rubor Balm Stick x4 Raymar,34288,8571.43,10000,25716.57,POR ENCIMA del general (+24288),clientespremium=8314.29; Lista Subdistribuidor PC=7714.29; Lista Caribe Supermercados=9000
2605,15968-1,15968-1,Set Rubor Líquido x4 Raymar,34288,8571.43,10000,25716.57,POR ENCIMA del general (+24288),clientespremium=8314.29; Lista Subdistribuidor PC=7714.29; Lista Caribe Supermercados=9000
2701,15964-1,15964-1,Set Iluminador Balm Stick x4 Raymar,34288,8571.43,10000,25716.57,POR ENCIMA del general (+24288),clientespremium=8314.29; Lista Subdistribuidor PC=7714.29; Lista Caribe Supermercados=9000
2705,15965-1,15965-1,Set Contorno En Barra Balm Stick x4 Raymar,34288,8571.43,10000,25716.57,POR ENCIMA del general (+24288),clientespremium=8314.29; Lista Subdistribuidor PC=7714.29; Lista Caribe Supermercados=9000
2290,7509552826692P,7509552826692P,Primer Hidratante Pro Miis Cosmetics,26104,1.19,1.19,26102.81,POR ENCIMA del general (+26102.81),
2195,7509552844375P,7509552844375P,Óleo Uva Skala,27201,1.19,1.19,27199.81,POR ENCIMA del general (+27199.81),
2056,7509552934397P,7509552934397P,Perfume Mini x3 Mix Click Hair,35108,1.19,1.19,35106.81,POR ENCIMA del general (+35106.81),
1641,7709650422806,7709650422806,Base Liquida 1St Scene Tono 2 Porcelain Atenea,41567,2517.11,5713.19,39049.89,POR ENCIMA del general (+35853.81),Lista Subdistribuidor PC=1936.24; Lista Caribe Supermercados=4000; clientespremium=2517.11; Lista el SI=4000; Lista Supermercados=4000; Lista Cañaveral=4129.3
49,7709990627558,7709990627558,Set Lip & Blush Beauty Charm x6 Alma Beauty,60000,16065,0,43935,POR ENCIMA del general (+60000),Lista Caribe Supermercados=17189.55
2686,16434,16434,Set Brillo Con Llavero x6 Raymar,53430,8904.11,10833.33,44525.89,POR ENCIMA del general (+42596.67),clientespremium=8636.99; Lista Subdistribuidor PC=8013.7; Lista Caribe Supermercados=9349.32
2692,16436,16436,Set Brillo Honey Lip Gloss X 6,53430,8904.11,10833.33,44525.89,POR ENCIMA del general (+42596.67),clientespremium=8636.99; Lista Subdistribuidor PC=8013.7; Lista Caribe Supermercados=9349.32
1504,7900083010589,7900083010589,Iluminador En Barra Flexible Alma Beauty,59142,13566.67,13566.67,45575.33,POR ENCIMA del general (+45575.33),clientespremium=13566.67
2667,16435,16435,Set Lip Gloss con llavero x6 Raymar,55716,9285.71,10833.33,46430.29,POR ENCIMA del general (+44882.67),clientespremium=9007.14; Lista Subdistribuidor PC=8357.14; Lista Caribe Supermercados=9750
2673,15970,15970,Set Brillo Con Llavero x6 Raymar,73974,12328.77,15000,61645.23,POR ENCIMA del general (+58974),clientespremium=11958.9; Lista Subdistribuidor PC=11095.89; Lista Caribe Supermercados=12945.21
